Primary ID		M12.p(ctr)[1]	M12.p(corr)[1]
1.75		-6.5878e-05	-0.00312546
1.73		0.00351398	0.211525
1.71		0.00707266	0.262901
1.69		0.0059289	0.290492
1.67		0.00281131	0.18223
1.65		0.00112784	0.0825005
1.63		0.000229336	0.0211544
1.61		4.97792e-05	0.00926538
1.59		-0.000800729	-0.119022
1.57		-0.00170234	-0.126665
1.55		-0.00127258	-0.0486869
1.53		0.000109807	0.012549
1.51		0.000279091	0.02322
1.49		0.000487491	0.0327262
1.47		0.00714153	0.290873
1.45		0.000535749	0.0415031
1.43		0.000361942	0.0215019
1.41		-0.00114698	-0.0954949
1.39		-0.00180611	-0.0936214
1.37		-0.0017195	-0.0377065
1.35		-0.00845921	-0.114843
1.33		0.0231583	0.11239
1.31		0.0283871	0.0997852
1.29		-0.0292297	-0.122703
1.27		-0.0504022	-0.226685
1.25		-0.0566697	-0.370408
1.23		-0.111808	-0.475071
1.21		-0.06078	-0.500908
1.19		0.00564685	0.112813
1.17		0.0608793	0.487633
1.15		0.0184483	0.33402
1.13		0.00485039	0.0567781
1.11		-0.000458717	-0.112059
1.09		0.00017117	0.0821457
1.07		-0.000137944	-0.0295479
1.05		0.00459141	0.0956441
1.03		0.006969	0.235955
1.01		0.00172304	0.146488
0.99		0.00465855	0.233442
0.97		0.00420266	0.156482
0.95		0.0109072	0.252402
0.93		0.00591378	0.205052
0.91		0.000101417	0.00342815
0.89		-0.0124597	-0.111958
0.87		-0.00801885	-0.084268
0.85		0.00146461	0.0582359
0.83		0.000688132	0.0783904
0.81		6.36876e-05	0.016306
0.79		-3.87435e-05	-0.0180548
0.77		-0.000144479	-0.0752799
0.75		-0.000308264	-0.0565978
0.73		5.31143e-05	0.0184243
0.71		-0.000533681	-0.0671507
0.69		-7.27158e-05	-0.0707704
0.67		0.000117617	0.119661
0.65		-4.54979e-05	-0.0500004
0.63		-4.4836e-05	-0.0507956
0.61		-2.45604e-05	-0.0240397
0.59		1.24023e-05	0.0178899
0.57		1.06254e-05	0.0488563
0.55		-8.15699e-06	-0.0118345
0.53		8.984e-06	0.0303245
0.51		1.17507e-06	0.0262051
0.49		7.34962e-06	0.112266
0.47		-7.46832e-06	-0.172652
0.45		-1.8293e-06	-0.0487882
0.43		-3.98659e-06	-0.115643
0.41		4.56814e-06	0.116013
0.39		-7.22829e-06	-0.140917
0.37		-4.59565e-06	-0.131148
0.35		2.05365e-06	0.0441676
0.33		-1.68209e-06	-0.0553984
0.31		1.35822e-06	0.0252939
0.29		3.3851e-06	0.160339
0.27		1.77018e-06	0.0427174
0.25		2.29537e-06	0.113093
0.23		-8.30334e-06	-0.18588
0.21		-2.39079e-06	-0.124102
0.19		1.41925e-05	0.297813
0.17		2.32808e-06	0.134518
0.15		2.66539e-05	0.131341
0.13		1.27694e-05	0.181396
0.11		1.86592e-06	0.0438499
0.09		-7.57337e-05	-0.236839
0.07		-1.75153e-05	-0.172863
0.05		0.000107603	0.236805
0.03		-5.76215e-06	-0.0385052
0.01		0.000151393	0.137559
