Primary ID		M2.p[1]	M2.p[2]
1.97		-0.0335248	0.103577
1.95		0.00501573	0.0741382
1.93		-0.0516794	0.0659784
1.91		-0.0620495	0.0447026
1.89		-0.0269841	0.082502
1.87		-0.0246927	0.0706942
1.85		-0.0557266	0.0698289
1.83		-0.0409622	0.0968855
1.81		0.00217969	0.0748571
1.79		0.0333069	0.0409899
1.77		0.0258576	0.057627
1.75		-0.0128573	0.0971485
1.73		-0.0401932	0.12254
1.71		-0.0383191	0.0998845
1.69		-0.0328529	0.101315
1.67		-0.0527419	0.0929414
1.65		-0.0545823	0.066908
1.63		-0.0522949	0.0404447
1.61		-0.0532385	0.0330779
1.59		-0.0332298	0.0506736
1.57		-0.0532616	0.0207352
1.55		-0.0671496	0.00167652
1.53		-0.0687189	0.0582129
1.51		-0.0364524	0.0785796
1.49		-0.0159696	0.0730403
1.47		-0.0540062	0.113034
1.45		-0.0357556	0.09373
1.43		-0.0100459	0.0840002
1.41		-0.0176081	0.0683993
1.39		-0.0418118	0.0637133
1.37		-0.000566965	0.0561708
1.35		0.0186213	0.022267
1.33		0.0250195	0.0129809
1.31		0.0240387	0.0124095
1.29		0.019923	0.00989826
1.27		0.0672921	0.0385187
1.25		0.0820573	0.05193
1.23		0.0770783	0.0318293
1.21		0.0762742	0.0247135
1.19		0.0665451	0.070741
1.17		0.0686534	0.0622643
1.15		0.0478978	0.058484
1.13		0.0467474	0.0523976
1.11		-0.0144613	0.0706881
1.09		-0.0316445	0.0571262
1.07		-0.0271901	0.0411216
1.05		-0.0845527	0.0287567
1.03		-0.0795533	0.0713996
1.01		-0.00405249	0.121884
0.99		-0.00308614	0.126503
0.97		-0.0130149	0.127649
0.95		-0.0204879	0.119563
0.93		-0.032089	0.126738
0.91		-0.0402193	0.113157
0.89		-0.0578004	0.0212219
0.87		-0.0312709	0.0298073
0.85		-0.0236672	0.0381795
0.83		-0.0279169	0.0654853
0.81		-0.0129769	0.072391
0.79		-0.0240547	0.0518135
0.77		-0.0196805	0.0452659
0.75		0.0230879	0.00281024
0.73		-0.0418963	0.0311184
0.71		-0.0441792	0.0463047
0.69		-0.0232986	0.0374119
0.67		-0.0425099	0.0603599
0.65		-0.0173815	0.0725452
0.63		0.0369817	0.00352585
0.61		0.0381122	0.0184426
0.59		0.0175759	0.000774645
0.57		-0.00425818	-0.00721572
0.55		0.00473344	0.00824223
0.53		-0.00382633	0.0164366
0.51		-0.0427822	0.0349279
0.49		-0.0249391	0.0212452
0.47		0.0356435	-0.0431037
0.45		0.0292962	-0.0235208
0.43		-0.0153399	0.0132572
0.41		-0.0135062	0.0555592
0.39		0.00610771	-0.0494742
0.37		0.0146613	-0.0456405
0.35		0.000414898	0.00793722
0.33		0.00169165	-0.0157497
0.31		0.00530419	-0.00879481
0.29		0.0177321	-0.0375296
0.27		-0.02308	0.0411042
0.25		-0.00165386	0.0103956
0.23		-0.00964917	-0.0216917
0.21		-0.0122241	-0.0101069
0.19		-0.000947901	0.0187565
0.17		0.000587069	0.00567793
0.15		0.00872174	0.00395118
0.13		-0.00568243	0.0392752
0.11		0.00980551	-0.026743
0.09		0.00820809	-0.0266159
0.07		0.00533204	-0.00390206
0.05		-0.0155719	0.00913376
0.03		-0.00748068	-0.000216849
0.01		-0.00901479	0.0107547
