Primary ID		M3.p[1]	M3.p[2]
4.97		-0.018517	0.0477261
4.95		-0.0159054	0.0416154
4.93		-0.0145538	0.0248475
4.91		-0.00737037	0.0119964
4.89		-0.0017384	0.00198189
4.67		-0.0190831	0.0374622
4.65		-0.0155705	0.0398989
4.63		-0.0148743	0.0389837
4.61		-0.0175799	0.0386787
4.59		-0.0149994	0.0410905
4.57		-0.00906017	0.0428229
4.55		-0.0128993	0.0407227
4.53		-0.0108196	0.0440352
4.51		-0.00284485	0.0522117
4.49		-0.00172277	0.0538067
4.47		0.0158616	0.0598148
4.45		0.0439915	0.066339
4.43		0.0392173	0.0518007
4.41		0.0349483	0.0360992
4.39		0.035593	0.0466752
4.37		0.0332573	0.0678157
4.35		0.0418994	0.0479815
4.33		0.0672001	0.0590278
4.31		0.0348581	-0.00691187
4.29		0.0360693	-0.00664489
4.27		0.0568592	0.0774563
4.25		0.0484627	0.070075
4.23		0.055853	0.0828162
4.21		0.0663607	0.0948833
4.19		0.0715282	0.0871387
4.17		0.0823827	0.071953
4.15		0.0826479	0.05912
4.13		0.0881586	0.041699
4.11		0.0707504	0.0448207
4.09		0.040419	0.0492353
4.07		0.0859401	0.009674
4.05		0.0951744	0.00672831
4.03		0.0597304	0.0422738
4.01		0.0964315	0.0558697
3.99		0.101357	0.0462345
3.97		0.0974228	0.048593
3.95		0.081938	0.0793667
3.93		0.0954099	0.0767804
3.91		0.0821879	0.0870698
3.89		0.0982743	0.0579205
3.87		0.0819038	0.103981
3.85		0.0774114	0.0966931
3.83		0.0870738	0.0939128
3.81		0.0940996	0.102477
3.79		0.0947801	0.0993289
3.77		0.107597	0.0845119
3.75		0.11584	0.0648042
3.73		0.107304	0.0758905
3.71		0.0875321	0.0654011
3.69		0.0119926	0.0168125
3.67		0.0910392	0.0946752
3.65		0.0927413	0.0917307
3.63		0.0977662	0.0729208
3.61		0.10212	0.013054
3.59		0.0958518	0.0107155
3.57		0.0966718	0.0558011
3.55		0.0960026	0.0227795
3.53		0.0540641	-0.000347004
3.51		0.0881782	0.038998
3.49		0.0865939	0.0488593
3.47		0.0521977	0.0235897
3.45		0.0551421	0.0294974
3.43		0.0717399	0.00910323
3.41		0.0769025	0.000768658
3.39		0.0404687	-0.00340142
3.37		0.0427075	0.0247588
3.35		0.036732	0.0214529
3.33		0.076724	-0.00455982
3.31		0.0845488	-0.00418399
3.29		0.0878619	-0.00625155
3.27		0.112282	-0.0023491
3.25		0.0761272	0.00383347
3.23		0.073767	-0.00888456
3.21		0.0845403	-0.0177436
3.19		0.0886932	-0.0580594
3.17		0.0436766	-0.0720805
3.15		0.0516876	-0.0284358
3.13		0.0635381	-0.0224837
3.11		0.0439389	-0.0275424
3.09		-0.00592698	-0.039099
3.07		0.068758	-0.0351495
3.05		0.0835712	-0.0616844
3.03		0.0954389	-0.0503669
3.01		0.0628385	-0.0693041
2.99		0.0415958	-0.0788318
2.97		0.0130137	-0.0732166
2.95		0.0319055	-0.0587261
2.93		0.0365117	-0.0336891
2.91		0.0754876	-0.0393829
2.89		0.0324215	-0.0620335
2.87		0.0338889	-0.0308959
2.85		-0.00966168	-0.0377795
2.83		0.0189824	-0.0238945
2.81		0.0629616	-0.0303686
2.79		0.0591996	-0.0118954
2.77		0.048936	-0.0219308
2.75		0.058063	-0.0260683
2.73		0.0436988	-0.0261536
2.71		0.0453289	0.00912577
2.69		0.0374162	0.0209266
2.67		0.058659	-0.0229471
2.65		0.0369652	-0.0399006
2.63		0.0172073	-0.0749603
2.61		-0.013671	-0.0529802
2.59		-0.00375768	-0.0708089
2.57		0.0528772	-0.0127161
2.55		0.0625774	-0.0233878
2.53		0.0455963	-0.0339418
2.51		0.0387237	-0.0468125
2.49		0.00934862	-0.0451702
2.47		0.0120809	-0.0713058
2.45		0.0485994	-0.0661734
2.43		0.0389454	-0.0389562
2.41		0.0511979	-0.00211493
2.39		0.0249525	0.0206376
2.37		0.0378395	-0.0536203
2.35		0.0642073	-0.0222885
2.33		0.0717036	-0.0227907
2.31		0.0572429	-0.0477156
2.29		0.0455099	-0.0523604
2.27		0.080351	-0.0741834
2.25		0.0289267	-0.103739
2.23		0.0293281	-0.0602552
2.21		0.0306686	-0.0788179
2.19		-0.0269156	-0.0914525
2.17		-0.0144876	-0.0812289
2.15		-0.0218184	-0.0627023
2.13		0.0422723	-0.0745192
2.11		0.0841311	-0.0604755
2.09		0.0753012	-0.0353421
2.07		0.0904508	0.0218697
2.05		0.0991796	-0.00448558
2.03		0.093719	-0.010362
2.01		0.0973285	-0.00105088
1.99		0.0765359	-0.0279784
1.97		0.059984	-0.0642849
1.95		0.0049075	-0.041916
1.93		0.00577253	-0.0680179
1.91		-0.0071991	-0.0307837
1.89		0.089398	-0.056271
1.87		0.0870022	-0.0573127
1.85		0.0245783	-0.0589858
1.83		0.0281292	-0.0434192
1.81		0.0480525	-0.0555785
1.79		0.0458663	-0.0674025
1.77		0.0554849	-0.066998
